0	0	0	0	0	0	0	77	69	69	69	58	58	58	62	62	62	70	0	0	0	0	0	0	0
0	0	0	0	0	77	77	77	69	69	69	58	58	58	62	62	62	70	70	70	0	0	0	0	0
0	0	0	81	81	77	77	77	77	69	69	58	58	58	62	62	70	70	70	70	78	78	0	0	0
0	0	81	81	81	81	77	77	77	69	69	58	58	58	62	62	70	70	70	78	78	78	78	0	0
0	0	81	81	81	81	81	77	77	53	53	42	42	42	46	46	70	70	78	78	78	78	78	0	0
0	76	76	81	81	81	81	57	53	53	53	42	42	42	46	46	46	54	78	78	78	78	71	71	0
0	76	76	76	81	81	57	57	53	53	53	42	42	42	46	46	46	54	54	78	78	71	71	71	0
76	76	76	76	76	57	57	57	57	53	53	37	42	30	46	46	54	54	54	54	71	71	71	71	71
68	68	76	76	76	52	52	57	57	41	37	37	26	30	30	38	54	54	47	47	71	71	71	63	63
68	68	68	68	52	52	52	52	41	41	37	37	26	30	30	38	38	47	47	47	47	63	63	63	63
68	68	68	68	52	52	52	52	36	36	25	21	10	14	22	31	31	47	47	47	47	63	63	63	63
61	61	61	61	45	45	45	36	36	36	20	9	2	6	15	31	31	32	43	43	43	59	59	59	59
61	61	61	61	45	45	45	45	29	29	13	5	1	3	11	27	27	43	43	43	43	59	59	59	59
61	61	61	61	45	45	45	35	35	35	19	8	4	7	16	32	32	32	43	43	43	59	59	59	59
67	67	67	67	51	51	51	51	35	35	24	18	12	17	23	32	32	48	48	48	48	64	64	64	64
67	67	67	67	51	51	51	51	40	40	34	34	28	33	33	39	39	48	48	48	48	64	64	64	64
67	67	75	75	75	51	51	56	56	40	34	34	28	33	33	39	55	55	48	48	72	72	72	64	64
75	75	75	75	75	56	56	56	56	50	50	34	44	33	49	49	55	55	55	55	72	72	72	72	72
0	75	75	75	80	80	56	56	50	50	50	44	44	44	49	49	49	55	55	79	79	72	72	72	0
0	75	75	80	80	80	80	56	50	50	50	44	44	44	49	49	49	55	79	79	79	79	72	72	0
0	0	80	80	80	80	80	74	74	50	50	44	44	44	49	49	73	73	79	79	79	79	79	0	0
0	0	80	80	80	80	74	74	74	66	66	60	60	60	65	65	73	73	73	79	79	79	79	0	0
0	0	0	80	80	74	74	74	74	66	66	60	60	60	65	65	73	73	73	73	79	79	0	0	0
0	0	0	0	0	74	74	74	66	66	66	60	60	60	65	65	65	73	73	73	0	0	0	0	0
0	0	0	0	0	0	0	74	66	66	66	60	60	60	65	65	65	73	0	0	0	0	0	0	0
